nom,point_depart,point_arrivee,distance_km,coords
Boulevard Allal El Fassi,"(-4.9645373, 34.0594364)","(-4.9639377, 34.0597784)",0.07,"[(-4.9645373, 34.0594364), (-4.9643797, 34.059492), (-4.964228, 34.0595575), (-4.9641153, 34.059621), (-4.963995, 34.0597149), (-4.9639377, 34.0597784)]"
Boulevard Allal El Fassi,"(-4.966634, 34.0586337)","(-4.9645373, 34.0594364)",0.21,"[(-4.966634, 34.0586337), (-4.9665276, 34.0587138), (-4.9664018, 34.0587949), (-4.9662791, 34.0588623), (-4.966088, 34.0589404), (-4.9658655, 34.059007), (-4.9655378, 34.0591034), (-4.9650343, 34.0592538), (-4.9648668, 34.0593049), (-4.9647264, 34.0593558), (-4.9646963, 34.0593665), (-4.9645373, 34.0594364)]"
Avenue Hassan II شارع الحسن الثاني,"(-5.0018196, 34.03827)","(-5.0009234, 34.0394146)",0.15,"[(-5.0018196, 34.03827), (-5.0012432, 34.0390098), (-5.0009234, 34.0394146)]"
Boulevard Mohammed V شارع محمد الخامس,"(-4.9976491, 34.0359496)","(-4.9976239, 34.0357557)",0.02,"[(-4.9976491, 34.0359496), (-4.9976239, 34.0357557)]"
Boulevard Mohammed V شارع محمد الخامس,"(-4.9976491, 34.0359496)","(-4.9977921, 34.0370943)",0.13,"[(-4.9976491, 34.0359496), (-4.997705, 34.0365266), (-4.997734, 34.0368277), (-4.9977616, 34.0369647), (-4.9977921, 34.0370943)]"
Avenue Hassan II شارع الحسن الثاني,"(-4.9994558, 34.0412448)","(-4.9989038, 34.0419366)",0.09,"[(-4.9994558, 34.0412448), (-4.9993128, 34.0414226), (-4.9989623, 34.041863), (-4.9989038, 34.0419366)]"
Boulevard Mohammed V شارع محمد الخامس,"(-4.9994558, 34.0412448)","(-4.9991279, 34.0404272)",0.1,"[(-4.9994558, 34.0412448), (-4.9993968, 34.0410915), (-4.9992569, 34.0407599), (-4.9991279, 34.0404272)]"
Boulevard Mohammed V شارع محمد الخامس,"(-4.9985577, 34.0390118)","(-4.9980435, 34.0377423)",0.15,"[(-4.9985577, 34.0390118), (-4.9983059, 34.0384002), (-4.9981368, 34.0379379), (-4.9981158, 34.0378842), (-4.9980435, 34.0377423)]"
Avenue Hassan II شارع الحسن الثاني,"(-4.9989038, 34.0419366)","(-4.9984202, 34.0425511)",0.08,"[(-4.9989038, 34.0419366), (-4.9987238, 34.0421724), (-4.9986232, 34.042298), (-4.9984202, 34.0425511)]"
Avenue Hassan II شارع الحسن الثاني,"(-5.0009234, 34.0394146)","(-5.0005122, 34.0399307)",0.07,"[(-5.0009234, 34.0394146), (-5.0008627, 34.03949), (-5.0005122, 34.0399307)]"
Boulevard Mohammed V شارع محمد الخامس,"(-4.9991279, 34.0404272)","(-4.9987886, 34.0395907)",0.1,"[(-4.9991279, 34.0404272), (-4.9987886, 34.0395907)]"
Avenue Hassan II شارع الحسن الثاني,"(-5.0021862, 34.0384715)","(-5.0030221, 34.0373872)",0.14,"[(-5.0021862, 34.0384715), (-5.0022613, 34.0383771), (-5.0029107, 34.0375314), (-5.0029373, 34.0374947), (-5.0030221, 34.0373872)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0224055, 34.0387702)","(-5.0194323, 34.0401293)",0.31,"[(-5.0224055, 34.0387702), (-5.0222714, 34.0388035), (-5.0219697, 34.0389113), (-5.0217041, 34.0389925), (-5.0213112, 34.039148), (-5.0211972, 34.0392003), (-5.0210336, 34.039277), (-5.0204583, 34.0396003), (-5.0198454, 34.0399037), (-5.0194323, 34.0401293)]"
